"ID","PlotName","Clump_ID","TreeNumber","Species","Status","DBH","LiveCrownPercent","InsectEvidence","InsectLevel","FreshPitch","HealthCode","WitnessTree","Buffer","Notes","dist from plot center","azimuth to plot center","shape","azimuth shape","radius line","radius shape","no of trees","no of buffer trees"
3802,305000.00,12.00,14.00,"CADE","D3",8.80,"NA","Y","2 - heavy attack (>5 pitch tubes)","NA","NA","None","N","cbb","1.88","279","p","999","0","0","1","0"
3803,305000.00,13.00,15.00,"PIPO","L",45.80,"50","N","0 - No attack","N","None","None","N",,"9.77","287","p","999","0","0","1","0"
3804,305000.00,14.00,16.00,"CADE","L",9.50,"15","N","0 - No attack","N","None","None","N",,"9.19","298","p","999","0","0","1","0"
3805,305000.00,15.00,17.00,"CADE","L",49.80,"10","N","0 - No attack","N","None","None","N",,"6.49","316","p","999","0","0","1","0"
3806,305000.00,16.00,18.00,"CADE","L",29.60,"15","N","0 - No attack","N","None","None","N",,"4.43","329","p","999","0","0","1","0"
3807,305000.00,17.00,19.00,"CADE","L",19.10,"10","N","0 - No attack","N","None","None","N",,"7.59","339","l","78","0.75","0","2","0"
3808,305000.00,17.00,20.00,"PIPO","L",55.40,"30","N","0 - No attack","N","None","W2","N",,"7.59","339","l","78","0.75","0","2","0"
3809,305000.00,18.00,21.00,"CADE","D2",22.80,"NA","N","0 - No attack","NA","NA","None","N",,"8.38","351","p","999","0","0","1","0"
3810,305000.00,19.00,22.00,"CADE","L",17.20,"5","N","0 - No attack","N","None","None","N",,"5.88","354","p","999","0","0","1","0"
3811,305000.00,20.00,23.00,"CADE","L",43.10,"5","N","0 - No attack","N","None","None","N",,"2.03","2","p","999","0","0","1","0"
3812,305000.00,21.00,24.00,"CADE","L",49.20,"25","N","0 - No attack","N","None","None","N",,"12.35","12","l","358","0.46","0","2","0"
3813,305000.00,21.00,25.00,"ABCO","L",10.20,"30","N","0 - No attack","N","None","None","N",,"12.35","12","l","358","0.46","0","2","0"
3814,305000.00,22.00,26.00,"PIPO","D3",16.80,"NA","N","0 - No attack","NA","NA","None","N","almost falling over, no bark","5.61","14","p","999","0","0","1","0"
3815,305000.00,23.00,27.00,"PILA","D3",34.40,"NA","N","0 - No attack","NA","NA","None","N","no bark","11.6","31","p","999","0","0","1","0"
3816,305000.00,24.00,28.00,"PILA","D3",23.50,"NA","N","0 - No attack","NA","NA","None","N","no bark","9.18","40","p","999","0","0","1","0"
3817,305000.00,25.00,29.00,"CADE","D3",24.10,"NA","N","0 - No attack","NA","NA","None","N",,"12.02","43","p","999","0","0","1","0"
3818,305000.00,26.00,30.00,"UNKNCONIFER","D3",11.40,"NA","N","0 - No attack","NA","NA","None","N","no bark","11.09","49","p","999","0","0","1","0"
3819,305000.00,27.00,31.00,"CADE","L",13.50,"10","N","0 - No attack","N","None","None","N",,"5.27","58","p","999","0","0","1","0"
3820,305000.00,28.00,32.00,"ABCO","D3",81.20,"NA","N","0 - No attack","NA","NA","None","N",,"10.11","62","p","999","0","0","1","0"
3821,305000.00,29.00,33.00,"PILA","L",24.60,"40","N","0 - No attack","N","Split Top","None","N",,"9.52","79","l","112","0.65","0","2","0"
3822,305000.00,29.00,34.00,"CADE","L",10.50,"20","N","0 - No attack","N","None","None","N",,"9.52","79","l","112","0.65","0","2","0"
3823,305000.00,30.00,35.00,"ABCO","D1",25.40,"NA","Y","2 - heavy attack (>5 pitch tubes)","Y","Other - include in notes","None","N","mech damage to 2m","12.19","85","p","999","0","0","1","0"
3824,305000.00,31.00,36.00,"CADE","L",9.50,"15","N","0 - No attack","N","None","None","N",,"6.83","86","p","999","0","0","1","0"
3825,305000.00,32.00,37.00,"CADE","D3",10.00,"NA","N","0 - No attack","NA","NA","None","N",,"11.8","90","p","999","0","0","1","0"
3826,305000.00,33.00,38.00,"CADE","L",8.50,"40","N","0 - No attack","N","None","None","N",,"8.51","99","p","999","0","0","1","0"
3827,305000.00,34.00,39.00,"CADE","L",10.50,"65","N","0 - No attack","N","None","None","N",,"5.3","103","p","999","0","0","1","0"
3828,305000.00,35.00,40.00,"CADE","L",8.70,"20","N","0 - No attack","N","None","None","N",,"8.65","111","p","999","0","0","1","0"
3829,305000.00,36.00,41.00,"CADE","L",13.80,"10","N","0 - No attack","N","None","None","N",,"5.79","140","l","204","0.46","0","2","0"
3830,305000.00,37.00,42.00,"CADE","L",29.20,"10","N","0 - No attack","N","None","None","N",,"5.79","140","l","204","0.46","0","2","0"
3831,305000.00,38.00,43.00,"PILA","L",70.30,"50","N","0 - No attack","N","None","None","N",,"8.91","153","p","999","0","0","1","0"
