"plot","code","species","spha","forest","aoi","loc","treated"
155102,"QUKE","Black oak",20,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155103,"QUCH","Canyon live oak",221,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155103,"QUKE","Black oak",20,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155104,"ABCO","White fir",100,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155104,"CADE","Incense cedar",40,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155104,"PILA","Sugar pine",100,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155104,"QUCH","Canyon live oak",361,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155104,"QUKE","Black oak",261,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155105,"ABCO","White fir",60,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155105,"CADE","Incense cedar",40,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155105,"PILA","Sugar pine",60,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155105,"QUCH","Canyon live oak",20,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155105,"QUKE","Black oak",321,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155106,"ABCO","White fir",60,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155106,"PILA","Sugar pine",20,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155106,"QUKE","Black oak",40,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155107,"ABCO","White fir",80,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155107,"CADE","Incense cedar",40,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155107,"PILA","Sugar pine",100,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155107,"QUCH","Canyon live oak",100,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155107,"QUKE","Black oak",120,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155108,"ABCO","White fir",261,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155108,"CADE","Incense cedar",140,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155108,"QUCH","Canyon live oak",160,"Sierra","Sierra - Bass Lake","Granddad","Yes"
155111,"ABCO","White fir",982,"Sierra","Sierra - Bass Lake","Granddad","No"
155111,"CADE","Incense cedar",1524,"Sierra","Sierra - Bass Lake","Granddad","No"
155111,"PILA","Sugar pine",341,"Sierra","Sierra - Bass Lake","Granddad","No"
155111,"QUCH","Canyon live oak",100,"Sierra","Sierra - Bass Lake","Granddad","No"
