"plot","forest","aoi","loc","lat","long","utm_n","utm_e","elev","treated","live_cc","dead_cc","shrub_c","litter","woody_debris","ba_live","dbh_mn_live","dbh_max_live","class_live1","class_live2","class_live3","class_live4","class_live5","class_live6","class_live7","tpha_live","ba_dead","dbh_mn_dead","dbh_max_dead","class_dead1","class_dead2","class_dead3","class_dead4","class_dead5","class_dead6","class_dead7","tpha_dead"
"155114","Sierra","Sierra - Bass Lake","Granddad",37.41095944,-119.604958,4143648.271,269453.447,4714.018215,"No",8,13,95,98.5,0.5,28.04,20,117,301,60,0,0,0,20,0,381,71.66,38,147,120,80,100,0,20,0,20,340
"155115","Sierra","Sierra - Bass Lake","Granddad",37.41138724,-119.6050333,4143695.929,269448.1,4690.270933,"No",8,8,20,97.5,1,71.3,30,165,241,80,0,20,20,0,20,381,71.37,62,128,60,20,0,0,40,20,20,160
"155131","Sierra","Sierra - Bass Lake","Pine Grove",37.21253443,-119.4223418,4121198.796,285053.572,4528.504674,"Yes",0.5,8,75,97.5,0.5,8.55,29,55,40,40,20,0,0,0,0,100,15.19,18,66,301,40,20,20,0,0,0,381
"155132","Sierra","Sierra - Bass Lake","Pine Grove",37.21254865,-119.4218148,4121199.177,285100.38,4512.836615,"Yes",1,20,90,98,0.5,0,0,0,0,0,0,0,0,0,0,0,32.06,44,61,0,120,40,40,0,0,0,200
"155133","Sierra","Sierra - Bass Lake","Pine Grove",37.21211016,-119.4206333,4121147.839,285203.995,4494.936203,"Yes",3,10,30,98,0.5,0,0,0,0,0,0,0,0,0,0,0,38.3,33,77,120,80,40,60,0,0,0,300
"155134","Sierra","Sierra - Bass Lake","Pine Grove",37.21208502,-119.4212401,4121146.426,285150.073,4518.86454,"Yes",0.5,18,28,98.5,0.5,1.09,15,18,60,0,0,0,0,0,0,60,27.14,34,70,0,200,40,20,0,0,0,260
"155135","Sierra","Sierra - Bass Lake","Pine Grove",37.2112263,-119.4212294,4121051.115,285148.586,4509.174513,"Yes",1,20,10,98.5,0.5,1.33,29,29,0,20,0,0,0,0,0,20,37.47,53,71,0,40,60,60,0,0,0,160
"155136","Sierra","Sierra - Bass Lake","Pine Grove",37.21168846,-119.4212467,4121102.438,285148.362,4526.602942,"Yes",0,22,50,98,0.5,0,0,0,0,0,0,0,0,0,0,0,40.05,63,91,0,0,40,60,20,0,0,120
"155137","Sierra","Sierra - Bass Lake","Pine Grove",37.21166346,-119.4217421,4121100.788,285104.318,4530.538895,"Yes",0,10,35,98.5,0.5,0,0,0,0,0,0,0,0,0,0,0,37.27,87,106,0,0,0,20,20,20,0,60
"155138","Sierra","Sierra - Bass Lake","Pine Grove",37.2120892,-119.4223533,4121149.417,285051.289,4542.112874,"Yes",0.5,13,73,98,0.5,0,0,0,0,0,0,0,0,0,0,0,34.79,74,84,0,0,20,20,40,0,0,80
"155141","Sierra","Sierra - Bass Lake","Pine Grove",37.2071453,-119.4219073,4120599.81,285076.832,4257.436435,"No",5,15,10,98,1,8.23,15,27,301,100,0,0,0,0,0,401,64.13,24,67,501,381,120,40,0,0,0,1042
"155142","Sierra","Sierra - Bass Lake","Pine Grove",37.20669629,-119.4219136,4120550,285075,4250.619692,"No",2,17,30,97.5,1,10.46,12,20,842,0,0,0,0,0,0,842,54.31,20,65,862,180,120,40,0,0,0,1202
"155143","Sierra","Sierra - Bass Lake","Pine Grove",37.20668138,-119.4213696,4120547.111,285123.241,4244.078733,"No",0.5,20,25,98,0.5,5.38,14,26,321,20,0,0,0,0,0,341,0,0,0,301,481,80,20,0,0,0,882
"155144","Sierra","Sierra - Bass Lake","Pine Grove",37.20625126,-119.4218829,4120500.548,285076.463,4244.979856,"No",1,25,75,99,0.5,2.32,13,18,160,0,0,0,0,0,0,160,63.96,20,78,862,241,100,40,0,0,0,1243
"155146","Sierra","Sierra - Bass Lake","Pine Grove",37.20536359,-119.4218209,4120401.908,285079.445,4228.61829,"No",0.5,6,35,98.5,0.5,1.02,11,17,100,0,0,0,0,0,0,100,26.5,22,86,281,120,20,0,20,0,0,441
"155147","Sierra","Sierra - Bass Lake","Pine Grove",37.20620297,-119.421322,4120493.916,285126.114,4246.81143,"No",3,1,30,98,0.5,12.31,14,58,481,40,20,0,0,0,0,541,12.09,13,30,642,100,0,0,0,0,0,742
"155148","Sierra","Sierra - Bass Lake","Pine Grove",37.20578873,-119.4213267,4120447.961,285124.517,4240.266272,"No",0.5,20,45,98.5,0.5,4.58,15,28,180,40,0,0,0,0,0,220,74.41,31,78,321,140,160,80,0,0,0,701
"155149","Sierra","Sierra - Bass Lake","Pine Grove",37.205321,-119.4212849,4120395.965,285126.902,4223.351095,"No",0.5,4,75,98.5,0.5,2.37,14,29,100,20,0,0,0,0,0,120,31.48,22,56,341,221,60,0,0,0,0,622
"155151","Sierra","Sierra - Bass Lake","Foster16",37.25913285,-119.389486,4126295.436,288100.052,5325.717702,"Yes",20,1,15,68.5,30,22.7,47,62,0,40,60,20,0,0,0,120,5.85,40,56,0,20,20,0,0,0,0,40
"155152","Sierra","Sierra - Bass Lake","Foster16",37.25958163,-119.389544,4126345.365,288096.163,5351.293794,"Yes",25,3,2,70.5,25,85.74,68,108,0,40,0,140,20,20,0,220,52.74,50,112,20,80,40,20,20,20,0,200
"155153","Sierra","Sierra - Bass Lake","Foster16",37.26006769,-119.3895191,4126399.244,288099.734,5370.6633,"Yes",30,1,7,68.5,20,58.58,37,99,60,221,20,40,40,0,0,381,14.62,25,80,100,60,0,0,20,0,0,180
"155154","Sierra","Sierra - Bass Lake","Foster16",37.25961126,-119.3888814,4126347.168,288155.014,5356.611144,"Yes",35,2,1,78.5,15,49.23,32,95,160,80,80,40,20,0,0,380,17.07,31,56,60,60,60,0,0,0,0,180
"155155","Sierra","Sierra - Bass Lake","Foster16",37.26052267,-119.3889714,4126448.504,288149.583,5408.559603,"Yes",10,2,25,84,8,16.21,30,54,80,40,60,0,0,0,0,180,28.45,52,96,20,20,20,20,20,0,0,100
"155156","Sierra","Sierra - Bass Lake","Foster16",37.2596837,-119.3861533,4126349.099,288397.18,5415.665766,"Yes",15,1,90,94.5,3,45.77,59,83,20,20,20,40,40,0,0,140,9.79,34,68,20,40,0,20,0,0,0,80
"155157","Sierra","Sierra - Bass Lake","Foster16",37.25965527,-119.3866798,4126347.122,288350.409,5421.33275,"Yes",15,0,93,98,0.5,34.92,77,108,0,20,0,0,20,20,0,60,1.87,13,19,140,0,0,0,0,0,0,140
"155158","Sierra","Sierra - Bass Lake","Foster16",37.2592282,-119.3866482,4126299.662,288352.009,5386.450134,"Yes",3,0,70,85.5,0.5,22.53,26,75,120,120,20,20,0,0,0,280,2.93,18,27,60,40,0,0,0,0,0,100
"155161","Sierra","Sierra - Bass Lake","Foster16",37.25295867,-119.3852941,4125600.94,288454.572,5134.046017,"No",10,2,1,96.5,2,70.44,39,112,40,241,180,0,0,20,0,481,56.34,41,130,40,120,80,20,0,0,20,280
"155162","Sierra","Sierra - Bass Lake","Foster16",37.25296643,-119.3846815,4125600.432,288508.932,5132.363985,"No",25,0,5,98,0.5,54.17,36,94,160,60,40,40,40,0,0,340,6.06,34,42,0,20,40,0,0,0,0,60
"155163","Sierra","Sierra - Bass Lake","Foster16",37.25296544,-119.3842124,4125599.273,288550.54,5132.927585,"No",22,4,0.5,98.5,0.5,63.77,32,111,241,80,60,20,0,40,0,441,29.48,30,87,100,120,40,0,20,0,0,280
"155164","Sierra","Sierra - Bass Lake","Foster16",37.252439,-119.3853257,4125543.347,288450.315,5085.251531,"No",20,0,25,98,1,32.71,33,98,60,160,40,0,20,0,0,280,2.96,22,35,20,40,0,0,0,0,0,60
"155165","Sierra","Sierra - Bass Lake","Foster16",37.25251237,-119.3858542,4125552.67,288403.64,5128.370712,"No",15,8,0.5,97.5,2,80.25,39,91,160,100,80,80,40,0,0,460,30.01,36,71,80,60,40,40,0,0,0,220
"155166","Sierra","Sierra - Bass Lake","Foster16",37.2525666,-119.3846628,4125556.023,288509.466,5094.518684,"No",8,0,20,82.5,16,52.72,23,60,481,221,140,20,0,0,0,862,9.22,31,54,60,0,40,0,0,0,0,100
"155167","Sierra","Sierra - Bass Lake","Foster16",37.25254133,-119.3841762,4125552.131,288552.562,5097.05096,"No",15,0,55,87.5,11,58.66,39,85,40,180,120,40,20,0,0,400,22.59,42,75,20,60,40,20,0,0,0,140
"155168","Sierra","Sierra - Bass Lake","Foster16",37.25201735,-119.3852149,4125496.311,288458.965,5061.208702,"No",5,0,25,94.5,4,39.74,33,57,60,281,80,0,0,0,0,421,8.56,20,28,100,140,0,0,0,0,0,240
"167601","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.82161857,-120.1708869,4189795.15,749014.352,3110.130563,"Yes",5,8,7,92,0.5,2.2,18,24,40,40,0,0,0,0,0,80,12.36,34,62,0,100,0,20,0,0,0,120
"167603","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.8213551,-120.1738123,4189758.109,748757.695,3186.145856,"Yes",23,7,1,97.5,1,27.36,35,72,40,120,20,40,0,0,0,220,26.27,62,90,0,0,40,20,20,0,0,80
"167605","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.81914368,-120.176185,4189506.36,748556.239,3295.4018,"Yes",5,12,3,97.5,1,9.26,34,38,0,100,0,0,0,0,0,100,14.13,47,58,0,40,40,0,0,0,0,80
"167606","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.82092542,-120.1761321,4189704.242,748554.916,3187.830194,"Yes",14,15,8,96.5,2,8.62,31,54,40,0,40,0,0,0,0,80,33.02,38,90,40,100,0,40,20,0,0,200
"1676112","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.81646678,-120.1627391,4189245.159,749749.035,3167.372941,"No",0.5,7,75,98.5,0.5,4.4,26,31,0,80,0,0,0,0,0,80,37.53,43,78,20,80,100,20,0,0,0,220
"1676122","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.81692007,-120.1627371,4189295.471,749747.676,3156.693883,"No",0.5,8,55,98.5,0.5,2.1,16,20,100,0,0,0,0,0,0,100,39.02,41,59,40,40,180,0,0,0,0,260
"1676132","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.81739667,-120.1627311,4189348.381,749746.597,3135.766868,"No",0.5,15,30,98.5,0.5,1.68,21,31,20,20,0,0,0,0,0,40,42.46,47,67,20,40,140,20,0,0,0,220
"1676142","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.81692408,-120.163319,4189294.36,749696.436,3155.916755,"No",2,15,37,98,1,1.9,18,30,40,20,0,0,0,0,0,60,29.15,27,64,180,100,60,20,0,0,0,360
"1676152","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.81650624,-120.1605063,4189255.514,749945.477,3097.680332,"No",0.5,7,20,98.5,0.5,0.79,11,15,80,0,0,0,0,0,0,80,38.27,54,65,0,20,80,60,0,0,0,160
"167616","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.8195336,-120.1756512,4189551.055,748601.923,3267.192554,"Yes",10,5,10,96.5,2,19.14,41,47,0,40,100,0,0,0,0,140,4.44,53,53,0,0,20,0,0,0,0,20
"167621","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.82130517,-120.1744025,4189750.995,748705.909,3173.209184,"Yes",8,12,7,98.5,0.5,8.68,27,44,40,60,20,0,0,0,0,120,14.73,55,68,0,0,40,20,0,0,0,60
"167625","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.82170916,-120.1727064,4189800.351,748853.871,3165.961808,"Yes",35,18,2,98.5,0.5,33.24,46,88,20,40,60,20,20,0,0,160,31.86,37,55,60,100,100,0,0,0,0,260
"167644","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.82254059,-120.1699946,4189899.859,749089.803,3074.537669,"Yes",10,8,30,98,0.5,15.34,48,57,0,20,60,0,0,0,0,80,6.31,45,48,0,0,40,0,0,0,0,40
"1676502","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.81593576,-120.1616394,4189189.167,749847.646,3162.401987,"No",0,20,85,98.5,0.5,0,0,0,0,0,0,0,0,0,0,0,26.04,46,61,20,20,80,20,0,0,0,140
"1676522","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.815988,-120.1606865,4189197.515,749931.363,3120.337068,"No",20,8,12,97.5,1,24.71,23,82,221,60,0,20,20,0,0,321,23.3,23,71,241,60,40,20,0,0,0,361
"1676582","Stanislaus","Stanislaus - Groveland","Long Shanahan",37.81852674,-120.1614297,4189477.282,749857.366,3056.482484,"No",15,0,0.5,97.5,1,24.95,16,76,662,140,0,20,0,0,0,822,18.06,13,60,902,40,0,20,0,0,0,962
"1760101","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod",38.22000746,-120.3910118,4233444.184,728394.863,3503.417354,"Yes",11,9,50,97.5,0.5,29.33,38,90,60,60,0,0,40,0,0,160,22.49,84,91,0,0,0,20,20,0,0,40
"17601032","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls",38.22007074,-120.3943843,4233442.888,728099.38,3309.275605,"No",12,25,20,97,2,50.49,26,47,200,561,60,0,0,0,0,821,71.49,27,106,421,20,0,60,40,20,0,561
"1760106","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod",38.22045055,-120.389207,4233497.816,728551.494,3638.397798,"Yes",18,25,40,95.5,0.5,9.96,21,36,120,100,0,0,0,0,0,220,37.89,62,98,20,0,20,20,40,0,0,100
"17601072","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls",38.22955226,-120.3962434,4234490.598,727906.995,3403.75533,"No",19,0,8,97.5,0.5,40.31,24,74,381,140,0,60,0,0,0,581,1.49,13,23,80,20,0,0,0,0,0,100
"17601092","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls",38.22957875,-120.3940179,4234499.023,728101.74,3637.024577,"No",23,0,63,97.5,0.5,44.76,36,72,40,200,40,60,0,0,0,340,0.95,24,24,0,20,0,0,0,0,0,20
"17601112","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls",38.22949637,-120.3929265,4234492.572,728197.546,3773.249651,"No",NA,NA,NA,NA,NA,73.6,36,68,160,200,180,60,0,0,0,600,2.47,19,27,60,20,0,0,0,0,0,80
"17601132","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls",38.2299297,-120.3940202,4234537.968,728100.449,3630.093763,"No",10,4,80,98,1,20.44,39,70,20,40,60,20,0,0,0,140,3.7,48,48,0,0,20,0,0,0,0,20
"17601142","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls",38.22994005,-120.3934763,4234540.458,728148.032,3693.316096,"No",20,0,25,99,0.5,58.19,28,72,321,140,100,60,0,0,0,621,3.37,25,38,20,40,0,0,0,0,0,60
"1760116","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod",38.22128138,-120.3880941,4233592.774,728646.33,3712.340281,"Yes",5,5,85,95,0.5,22.82,34,90,40,100,20,0,20,0,0,180,13.16,56,88,0,20,0,0,20,0,0,40
"1760118","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod",38.22126816,-120.3869258,4233594.195,728748.665,3725.586666,"Yes",3,0,95,98,0.5,13.1,25,62,100,0,40,20,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0
"1760606","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod",38.20467354,-120.390378,4231743.939,728498.332,3829.82766,"Yes",10,0,93,98,0.5,12.58,32,47,0,100,40,0,0,0,0,140,1.45,30,30,0,20,0,0,0,0,0,20
"17606082","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls",38.2133899,-120.3958215,4232697.884,727994.405,3452.499259,"No",8,0,30,98.5,0.5,49.1,39,82,60,120,80,40,20,0,0,320,3.06,44,44,0,0,20,0,0,0,0,20
"17606102","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod controls",38.21426155,-120.3935471,4232800.229,728190.837,3548.845131,"No",30,0,15,97,2,28.65,28,77,160,40,80,20,0,0,0,300,0.8,16,19,40,0,0,0,0,0,0,40
"1760611","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod",38.20512117,-120.389815,4231795.008,728546.241,3819.204024,"Yes",12,0,95,98.5,0.5,30.57,43,73,40,40,20,60,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0
"1760613","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod",38.20554702,-120.3903327,4231840.992,728499.567,3845.65428,"Yes",11,5,70,98.5,0.5,31.88,56,103,20,20,0,40,0,20,0,100,16.22,50,59,0,20,60,0,0,0,0,80
"1760622","Stanislaus","Stanislaus - Calaveras","Omanuel Multiprod",38.20644731,-120.3880865,4231946.457,728693.46,3846.481782,"Yes",8,8,40,97.5,1,36.33,60,128,40,0,0,20,0,0,20,80,20.72,51,79,20,20,0,40,0,0,0,80
"241000","Yosemite","Yosemite","Studhorse North",37.53304453,-119.6273392,4157251.377,267850.512,4553.626685,"Yes",1,12,96,97.5,1,3.46,20,32,60,40,0,0,0,0,0,100,37.17,33,96,120,60,0,40,20,0,0,240
"242000","Yosemite","Yosemite","Studhorse North",37.53304911,-119.6279225,4157253.327,267798.977,4565.89799,"Yes",2,10,95,98,0.5,12.1,28,57,60,40,40,0,0,0,0,140,41.52,55,107,40,20,20,0,20,20,0,120
"243000","Yosemite","Yosemite","Studhorse North",37.53389365,-119.6279257,4157347.057,267801.309,4518.445103,"Yes",70,30,85,67.4,10,29.72,19,98,441,160,0,0,20,0,0,621,49.43,26,169,200,40,0,0,0,0,20,260
"245000","Yosemite","Yosemite","Studhorse North",37.5347658,-119.6279475,4157443.896,267802.094,4473.563127,"Yes",15,0,65,95.5,3,41.68,50,106,40,20,40,40,0,20,0,160,7.41,20,42,120,40,20,0,0,0,0,180
"247000","Yosemite","Yosemite","Studhorse North",37.53339178,-119.6307545,4157298.356,267549.762,4569.51097,"Yes",10,0,65,91,7,29.68,67,83,0,0,20,40,20,0,0,80,33.36,43,102,20,60,60,0,0,20,0,160
"248000","Yosemite","Yosemite","Studhorse North",37.53383575,-119.6307824,4157347.694,267548.668,4557.379229,"Yes",10,13,35,95.5,3,17.42,51,72,0,0,60,20,0,0,0,80,50.56,44,109,60,60,40,0,0,40,0,200
"249000","Yosemite","Yosemite","Studhorse North",37.53429568,-119.6307768,4157398.721,267550.593,4531.039007,"Yes",0,18,90,83.5,15,0,0,0,0,0,0,0,0,0,0,0,84.85,70,152,0,40,40,40,0,0,40,160
"301000","Yosemite","Yosemite","Studhorse North",37.53614368,-119.6274916,4157595.678,267846.659,4403.529212,"No",8,6,15,94.5,4,46.54,15,92,1343,180,0,20,20,0,0,1563,18.6,17,102,261,0,0,0,0,20,0,281
"302000","Yosemite","Yosemite","Studhorse North",37.53528152,-119.6273867,4157499.741,267853.253,4440.585065,"No",4,0,17,68.5,30,31.42,19,55,541,301,40,0,0,0,0,882,4.01,15,24,140,60,0,0,0,0,0,200
"304000","Yosemite","Yosemite","Studhorse North",37.53578808,-119.6263461,4157553.386,267946.779,4419.359413,"No",4,8,27,98,0.5,54.78,26,83,401,120,60,40,20,0,0,641,76.94,39,124,180,40,0,40,20,20,20,320
"305000","Yosemite","Yosemite","Studhorse North",37.53615352,-119.6252145,4157591.146,268047.92,4404.764167,"No",12,10,0.5,74,25,44.03,26,70,301,140,120,20,0,0,0,581,50.9,32,81,180,140,40,40,20,0,0,420
"307000","Yosemite","Yosemite","Studhorse North",37.53529442,-119.624078,4157493.004,268145.686,4484.455385,"No",15,0,20,90,9,59.42,20,85,682,301,40,40,20,0,0,1083,4.39,24,50,40,0,20,0,0,0,0,60
"308000","Yosemite","Yosemite","Studhorse North",37.53534266,-119.6234875,4157496.9,268198.023,4475.73756,"No",5,6,0.5,83.5,15,35.64,19,72,601,180,40,20,0,0,0,841,46.81,22,124,361,20,0,0,0,20,20,421
"311000","Yosemite","Yosemite","Studhorse North",37.53221119,-119.62448,4157151.839,268100.604,4662.917134,"No",12,0,20,68.5,30,47.62,15,138,1002,120,0,0,0,0,20,1142,10.72,19,45,200,80,20,0,0,0,0,300
